poem_text,poem_type
"I was a child then
Living in a rural place
In close communion
With nature-the sea and sky
The earth, the trees and mountains
Nature surrounded
My existence as a child
A sight I beheld
Most constantly as I grew
In our little home sweet home
In those early years
Life was so simple, idyllic
So different from now
Everything seemed so perfect
To an innocent, young child
In a coastal town
Away from urbanity
Nature provided
Most of the needs, from basic
To a child's entertainment
The rain was a joy
When it came to visit and pour
It was the best time
To jump and swim in the sea
After school, on rainy days
The russet hued earth
Baked by the sun to hardness
Was a child's playground
Where my tender feet galloped
And run free during playtime
How beautiful 'twas
To have lived in such a way
In simplicity
Far from the noise and chaos
From the hub of city life
The water was drawn
From the rocky and deep wells
Dugged from rocky earth
By the old people in town
It nourished life in the coast
At night the moonlight
Seemed to glow brighter, mirrored
In the sleepy sea
Its sparkling beams danced and moved
In the gently lapping waves
Children play hide and seek
On moonlit nights, their laughter
Pealed like tiny bells
While I gazed at the moon's face
Admiring its radiant glow
I remember well
How father would go fishing
On most nights, alone
Riding a sturdy banca
And mother would wait at home
At dawn, when the moon
Had faded and sunrise came
The vast horizon
Glowed, dazzling with colors
Of burning fire, bright, reddish
The sun was amber
In the days of my childhood
Ever burning bright
Warm happy days in the sun
I will always remember
The nights of stargazing
When the sky was without moon
And of moonlit nights
As I listened to dreamy
Lullabies of the blue sea
Those were the best days
A time of my life that shaped
Who I am today
A time of blooming, growing
A time of learning to fly
So much memories
I had as a child growing
A season of life
When everything was simple
When love was not so complex",narrative
"A familar cascade, your life remains meaningless
But the man above has hope for you....
All he asks is that you believe.
Trust that he will come to your pain.
Haunted by the sins among your shadows.
He will forgive the past...
He will forgive infamy....
It won't be long until you scream for his grace.
That's the only hope you have to survive in this place.
Fear no more, you will be praised with salvation
Raise your head up to the sky now, your days
of shame will be forgotten.... just call for his name
Your savior awaits",cascade
"8 billion trees to be planted
8 billion trees to grow
In years to come
They to flourish and show
The destruction of earth's rainforests
To be stopped
Those loggers to go
The greedy manufacturers
Scared of losing money
Now threatening people
Who care about saving the world
Saving the earth's atmosphere
Saving earth's animals
And global wildlife
That need the rainforests
In the past
So wrongfully torn down.
The rainforests to also
Provide medications
Without logging trees
For the rainforests
Cleanse our ozone layer
Earth's atmosphere
Needing oxygen
And now we plant
8 billion trees.
Our children of future generations:
The future people
That shall have our legacy
For in the year 3000
We will have rich wildlife:
Rich rainforests
And animals not extinct
For earth is the only planet
Life grows on
Mars desolute and cold
No other planet
To take earth's place
In the dark and emptiness of outer space.
We shall all work together
To enrich the rainforests
And fight the scum
That want to destroy
The world's rainforests
For profit: for greed
And they must be stopped
For earth is an anagram of heart
Which speaks volumes
About the mission
To have all 8 billion people
Work together
And destroy every company
That destroys our precious jewel:
So work hard at school
And realize the loggers are fools.
Earth is the beating heart
Of the universe
Earth is the creator of life
Earth created us:
Its human race
And pollution
Won't take the ozone layer's place
For earth is blue and green
Earth from orbit
Beautiful when seen
And the rainforest destructors
Shall disappear
And will fear being seen
For Mars may be a second earth
But this planet has the greater worth.
Earth is my treasure
Where love I measure
Love for creation
Love for animals
Love for humans
Love for the beating heart
That is life.
Don't wait anymore
Let's work together
And change freaky weather
Earth we must treasure
Earth's importance beyond measure.",anagram
"O God of earth and altar,
Bow down and hear our cry,
Our earthly rulers falter,
Our people drift and die;
The walls of gold entomb us,
The swords of scorn divide,
Take not thy thunder from us,
But take away our pride.
From all that terror teaches,
From lies of tongue and pen,
From all the easy speeches
That comfort cruel men,
From sale and profanation
Of honour and the sword,
From sleep and from damnation,
Deliver us, good Lord.
Tie in a living tether
The prince and priest and thrall,
Bind all our lives together,
Smite us and save us all;
In ire and exultation
Aflame with faith, and free,
Lift up a living nation,
A single sword to thee.",hymn
"Yasodhara recreates
The desertion of the palace
With Rahul and Yasoda
Left sleeping
By Prince Siddhartha
Went away
In search of light
And knowledge.",epic
"Enjoy
Life everyday
God gives you this day to
Love, enjoy.Don't live in the past
Just be glad that you have today this day
Try to do your best and be strong
When you are feeling low.
Don't waste time and
Enjoy",rictameter
"Madrigal
it is six in the morning
I get down and move the car from
the place reserved for vans.
This the best of times cooling before the heat begins
only a few people out walking their dogs enjoying
the peace of a beginning.
I could have parked my car in the space between
two cars, but I lose my nerves, this after 60 years of driving.
in the night the wind blew hard from the sea
tiring itself out, and me too I hate the wind it takes my breath away
leaves me a husk falling asleep in front of the TV.
Yesterday I carried water to the house, the porter usually
do this but my wife thinks he takes too much money.
Being able to carry bottles of water is better than not being
able to carry water, my heart does not agree.",madrigal
"(for Annelize)
I adore you late at night, at daybreak and in the afternoon,
even if the days of hardship would come without an end,
even if all of life did only flower as thistles
it would do nothing to my love for you,
even if I had to reconcile myself with another person in your life,
for years you will still have me speechless
where I do love you still in my later years
as love do not set demands to fulfil,
it only leaves its own lovely tracks deep in the heart
and like the seasons nothing can stop it
where it lasts for decades and go far past the aeons,
it brings healing and happiness instead of sorrow,
it is something that do includes all great things and also hope
and with my love I want to envelope your whole world.
© Gert Strydom",free-verse
"""Do nothing
from selfish
ambition or
conceit,
but in
humility
count others
more significant
than yourselves.""
(Phil.2: 3 of the New Testament of the Holy Bible) .",conceit
"Triolet: They Are In The Chaos
- - - - - - - - - - - - - - - - - - - - -
After birth I see them in the chaos
Many years passed, I am now young
No change is seen in them, any case;
After birth I see them in the chaos,
I am afraid whether they have sense
To them sometimes it is my question;
After birth I see them in the chaos
Many years passed, I am now young.
Copyright © Muzahidul Reza | 9 November,2017",triolet
"Queensland summer strays in to scuttle Spring.
Dissolve its breath; no more its song to sing.
Time now for us to return to the sound of the sea,
its jests, its restless passion, and gypsy-free
follow the gulls, our hearts like theirs on the wing.
For an hour or two each day together we'll bring
books, umbrella: in silent thought we'll fling
last year's old cares, content on Nature's knee.
Queensland summer.
We'll swim on the jelly waves and turn to swing
and stretch our bodies on the breakers' long white string.
Watch children build sandcastles, two or three.
Watch walkers stride the sand like you and me
until the Fall sweeps in with its sighing sting.
Queensland summer.",rondeau
"Believe and be saved.
John 3:16-18.
Not to condemn the sons of men,
Did Christ, the Son of God, appear;
No weapons in his hands are seen,
No flaming sword nor thunder there.
Such was the pity of our God,
He loved the race of man so well,
He sent his Son to bear our load
Of sins, and save our souls from hell.
Sinners, believe the Savior's word,
Trust in his mighty name and live;
A thousand joys his lips afford,
His hands a thousand blessings give.
But vengeance and damnation lies
On rebels who refuse the grace;
Who God's eternal Son despise,
The hottest hell shall be their place.",hymn
"Love bells
Jingle in me
Looking at a youthful
Lilly yum-yum, yummy: a belle
Nubile, a sweet girl glamorous, hot lass
voluptuous with face of full
moon and blue eyes, which
Tell a billion
tales by ringing
Love bells!",rictameter
"no reply by owl
when it sees night playing foul
his silence is dead
as the moon reflects
and echoes in the valley
screams for the unspoken words
to melt and give way
for unrealised
dreams hanging over mountain
like dewdrops on rose petals",choka
"The telegram says you have gone away
And left our bankrupt circus on its own;
There is nothing more for me to say.
The maestro gives the singing birds their pay
And they buy tickets for the tropic zone;
The telegram says you have gone away.
The clever woolly dogs have had their day
They shoot the dice for one remaining bone;
There is nothing more for me to say.
The lion and the tigers turn to clay
And Jumbo sadly trumpets into stone;
The telegram says you have gone away.
The morbid cobra's wits have run astray;
He rents his poisons out by telephone;
There is nothing more for me to say.
The colored tents all topple in the bay;
The magic saw dust writes: address unknown.
The telegram says you have gone away;
There is nothing more for me to say.",villanelle
"Q-uote
U-ses
E-xcellent
E-xpression
N -oted
I-n
E-pic
D-elight
E-ven
V-erse
E-ndorses
R-ighteous
A-crost ic
Topic: Birthday of Queenie F. De Vera (July 15)
Form: Vertical Monocrostic",epic
